"","ortho","klatt","neighbors","degree","c"
"1","aardvark","ardvark","",0,NA
"2","aback","xb@k","xb@S;xt@k;b@k",3,0
"3","abacus","@bxkxs","",0,NA
"4","abaft","xb@ft","",0,NA
"5","abalone","@bxloni","bxloni",1,NA
"6","abandon","xb@nd|n","",0,NA
"7","abase","xbes","xbet;xbIs;xpes;bes",4,0
"8","abash","xb@S","xb@k;b@S",2,0
"9","abate","xbet","xbes;xbEt;xbWt;xb^t;xwet;bet;xlet",7,0.19047619047619
"10","abatis","@bxti","@bxsi;@bxt;@mxti",3,0
"11","abattoir","@bxtwar","",0,NA
"12","abbacy","@bxsi","@bxti;@bxs",2,0
"13","abbe","@be","@bi;@se;be;obe",4,0.166666666666667
"14","abbess","@bxs","@bxsi;@bxt;@rxs;Ybxs",4,0
"15","abbey","@bi","@be;@ri;@li;@Si;bi;k@bi;g@bi;obi;S@bi;t@bi",10,0.222222222222222
"16","abbot","@bxt","@bxti;@bxs;@gxt",3,0
"17","abbreviate","xbriviet","",0,NA
"18","abbreviation","xbrivieS|n","",0,NA
"19","abdicate","@bdIket","",0,NA
"20","abdication","@bdIkeS|n","",0,NA
"21","abdomen","@bdxmxn","",0,NA
"22","abdominal","@bdamxnL","",0,NA
"23","abduct","@bd^kt","",0,NA
"24","abeam","xbim","bim",1,NA
"25","abecedarian","ebisidErixn","",0,NA
"26","abed","xbEd","xbEt;xbYd;xbod;xhEd;bEd",5,0.1
"27","aberrant","@bErxnt","",0,NA
"28","aberration","@bXeS|n","@JXeS|n;@dXeS|n",2,1
"29","abet","xbEt","xbet;xbEd;xbWt;xb^t;bEt",5,0.3
"30","abeyance","xbexns","",0,NA
"31","abhor","xbhor","",0,NA
"32","abide","xbYd","xbEd;xbod;xlYd;xsYd;bYd",5,0.2
"33","ability","xbIl|ti","xJIl|ti",1,NA
"34","abject","@bJEkt","abJEkt",1,NA
"35","abjection","@bJEkS|n","",0,NA
"36","abjectly","@bJEktli","",0,NA
"37","abjuration","@bJxreS|n","",0,NA
"38","abjure","@bJUr","",0,NA
"39","ablate","@blet","ablet",1,NA
"40","ablative","@blxtIv","",0,NA
"41","ablaze","xblez","blez",1,NA
"42","able","ebL","enL;bebL;kebL;febL;gebL;lebL;sebL;tebL",8,0.75
"43","abloom","xblum","blum",1,NA
"44","ablution","xbluS|n","xbleS|n",1,NA
"45","abnegate","@bnIget","",0,NA
"46","abnegation","@bnIgeS|n","",0,NA
"47","abnormal","@bnormL","@bnormLi",1,NA
"48","abnormality","@bnorm@l|ti","",0,NA
"49","abnormally","@bnormLi","@bnormL",1,NA
"50","aboard","xbord","xbod;xkord;xford;xword;bord",5,0.3
"51","abode","xbod","xbEd;xbYd;xbord;bod",4,0.166666666666667
"52","abolish","xbalIS","",0,NA
"53","abolition","@bxlIS|n","EbxlIS|n",1,NA
"54","abolitionist","@bxlIS|n|st","",0,NA
"55","abominable","xbamxnxbL","",0,NA
"56","abominate","xbamxnet","",0,NA
"57","aboriginal","@bXIJ|nL","@bXIJ|ni",1,NA
"58","aborigine","@bXIJ|ni","@bXIJ|nL",1,NA
"59","aborning","xbornIG","",0,NA
"60","abortion","xborS|n","xporS|n",1,NA
"61","abound","xbWnd","xrWnd;bWnd",2,0
"62","about","xbWt","xbet;xbEt;xb^t;bWt",4,0.5
"63","above","xb^v","xb^t",1,NA
"64","abracadabra","@brxkxd@brx","",0,NA
"65","abrade","xbred","xbrcd;xfred;bred",3,0
"66","abrasive","xbresIv","",0,NA
"67","abreast","xbrEst","xrEst;brEst",2,1
"68","abridge","xbrIJ","brIJ",1,NA
"69","abroad","xbrcd","xbred;brcd",2,0
"70","abrogate","@brxget","@rxget",1,NA
"71","abrogation","@brxgeS|n","",0,NA
"72","abrupt","xbr^pt","",0,NA
"73","abscess","@bsEs","@ksEs;xbsEs",2,0
"74","abscound","@bskand","",0,NA
"75","absence","@bs|ns","@bs|nt",1,NA
"76","absent","@bs|nt","@bs|ns;@bs|nti",2,0
"77","absentee","@bs|nti","@bs|nt",1,NA
"78","absentminded","@bs|ntmYnd|d","",0,NA
"79","absinthe","@bsInT","",0,NA
"80","absolute","@bsxlut","",0,NA
"81","absolutely","@bsxlutli","",0,NA
"82","absolution","@bsxluS|n","",0,NA
"83","absolutism","@bsxlutIzM","",0,NA
"84","absolve","xbzalv","",0,NA
"85","absorb","xbsorb","",0,NA
"86","abstain","xbsten","xbten",1,NA
"87","abstemious","@bstimixs","",0,NA
"88","abstinence","@bst|n|ns","",0,NA
"89","abstract","@bstr@kt","@bstr@kts",1,NA
"90","abstraction","@bstr@kS|n","",0,NA
"91","abstracts","@bstr@kts","@bstr@kt",1,NA
"92","abstruse","xbstrus","",0,NA
"93","absurd","xbsRd","",0,NA
"94","abundant","xb^nd|nt","",0,NA
"95","abuse","xbyuz","xkyuz;xmyuz",2,1
"96","abut","xb^t","xbet;xbEt;xbWt;xb^v;b^t",5,0.3
"97","abuttals","xb^tLz","",0,NA
"98","abysm","xbIzM","",0,NA
"99","abysmal","xbIzmL","",0,NA
"100","abyss","xbIs","xbes;xmIs",2,0
"101","acacia","xkeSx","",0,NA
"102","academe","@k|dim","",0,NA
"103","academic","@k|dEmIk","",0,NA
"104","academician","@k|dxmIS|n","",0,NA
"105","academicism","@k|dEmxsIzM","",0,NA
"106","academy","xk@dxmi","",0,NA
"107","acanthus","xk@nT|s","",0,NA
"108","accede","@ksid","@ksiL;Iksid",2,0
"109","accelerando","aCElxrando","",0,NA
"110","accelerate","@ksElXet","",0,NA
"111","accent","@ksEnt","@ksEpt",1,NA
"112","accentual","@ksEnCuL","",0,NA
"113","accentuate","@ksEnCuet","",0,NA
"114","accept","@ksEpt","@ksEnt;IksEpt",2,0
"115","acceptance","@ksEpt|ns","",0,NA
"116","acceptation","@ksEpteS|n","",0,NA
"117","access","@ksEs","@bsEs;@ks|s;EksEs",3,0
"118","accessible","@ksEs|bL","",0,NA
"119","accession","aksES|n","absES|n",1,NA
"120","accessory","@ksEsXi","",0,NA
"121","accidence","@ks|d|ns","@ks|d|nt",1,NA
"122","accident","@ks|d|nt","@ks|d|ns",1,NA
"123","accidental","@ksxdEntL","aksxdEntL",1,NA
"124","acclaim","xklem","xflem;klem",2,0
"125","acclamation","@klxmeS|n","",0,NA
"126","acclimate","@klxmet","",0,NA
"127","acclimatize","xklYmxtYz","",0,NA
"128","acclivity","xklIvxti","",0,NA
"129","accolade","@kxled","",0,NA
"130","accommodate","xkamxdet","",0,NA
"131","accommodation","xkamxdeS|n","",0,NA
"132","accompaniment","xk^mpxnimxnt","",0,NA
"133","accomplice","xkamplxs","",0,NA
"134","accomplish","xkamplIS","",0,NA
"135","accord","xkord","xbord;xford;xword;kord",4,0.5
"136","accordance","xkordNs","",0,NA
"137","accordion","xkordixn","",0,NA
"138","accost","xkcst","xkRst;kcst",2,0
"139","account","xkWnt","xmWnt;kWnt",2,0
"140","accountant","xkWntNt","",0,NA
"141","accoutre","xkutX","",0,NA
"142","accredit","xkrEd|t","krEd|t",1,NA
"143","accretion","xkriS|n","",0,NA
"144","accrue","xkru","kru;skru",2,1
"145","acculturation","xk^lCXeS|n","",0,NA
"146","accumulate","xkyumyUlet","",0,NA
"147","accuracy","@kyXxsi","",0,NA
"148","accurate","@kyX|t","",0,NA
"149","accursed","xkRst","xkcst;xTRst",2,0
"150","accusal","xkyuzL","xkyuz;xkyuzX",2,1
"151","accusation","@kyuzeS|n","",0,NA
"152","accusative","xkyuz|tIv","",0,NA
"153","accuse","xkyuz","xbyuz;xkyuzL;xkyuzX;xkyut;xmyuz",5,0.2
"154","accuser","xkyuzX","xkyuzL;xkyuz",2,1
"155","accustom","xk^stxm","k^stxm",1,NA
"156","ace","es","ek;eJ;ed;el;em;ep;@s;et;bes;kes;Ces;des;fes;eC;Ys;les;mes;pes;res;Es;^s;ves",22,0.341991341991342
"157","acerb","xsRb","xsRt",1,NA
"158","acerbity","xsRbxti","",0,NA
"159","acetanilide","@sxt@nxlYd","",0,NA
"160","acetate","@sxtet","",0,NA
"161","acetic","xsitIk","xsEtIk",1,NA
"162","acetone","@sxton","",0,NA
"163","acetylene","xsEtLxn","",0,NA
"164","ache","ek","es;ekX;eJ;ed;el;em;ep;et;ck;bek;kek;ik;fek;eC;hek;Rk;lek;mek;ok;rek;sek;Sek;tek;wek",24,0.322463768115942
"165","achieve","xCiv","",0,NA
"166","achromatic","@krxm@tIk","@krxb@tIk;@rxm@tIk",2,0
"167","acid","@s|d","",0,NA
"168","acidic","xsIdIk","",0,NA
"169","acidity","xsId|ti","xvId|ti",1,NA
"170","acidosis","@sxdos|s","",0,NA
"171","acidulous","xsIJUlxs","",0,NA
"172","acknowledge","@knal|J","",0,NA
"173","acme","@kmi","@kni",1,NA
"174","acne","@kni","@kmi;h@kni",2,0
"175","acolyte","@kxlYt","@kxnYt",1,NA
