"","ortho","freq","aoa.mean","aoa.sd","klatt","neighbors","degree","c"
"1","aardvark","0.41",9.89,3.66,"ardvark","",0,NA
"2","abacus","0.24",8.69,3.77,"@bxkxs","",0,NA
"3","abalone","0.51",12.23,3.54,"@bxloni","",0,NA
"4","abandon","8.1",8.32,2.75,"xb@nd|n","",0,NA
"5","abase","0.06",14.57,4.29,"xbes","xbet;xbIs;bes",3,0
"6","abate","0.1",14.44,3.57,"xbet","xbes;xbEt;xbWt;xb^t;xwet;bet",6,0.2
"7","abbacy","#N/A",14.5,0.71,"@bxsi","",0,NA
"8","abbey","3.18",13.06,3.59,"@bi","@li;@Si;k@bi;S@bi",4,0.333333333333333
"9","abbot","0.84",12.1,4.7,"@bxt","@gxt",1,NA
"10","abbreviate","0.02",9.95,2.07,"xbriviet","",0,NA
"11","abbreviation","0.24",9.11,2.37,"xbrivieS|n","",0,NA
"12","abdicate","0.18",12.6,3.18,"@bdIket","",0,NA
"13","abdication","0.12",14.94,3.59,"@bdIkeS|n","",0,NA
"14","abdomen","3.35",8.61,2.25,"@bdxmxn","",0,NA
"15","abdominal","3.41",10.24,3.6,"@bdamxnL","",0,NA
"16","abduct","0.71",11.26,4.03,"@bd^kt","",0,NA
"17","abeam","0.14",13.4,2.88,"xbim","bim",1,NA
"18","aberrant","0.29",13.31,3.5,"@bErxnt","",0,NA
"19","aberration","0.55",12.69,3.33,"@bXeS|n","@dXeS|n",1,NA
"20","abet","0.1",12.15,3.31,"xbEt","xbet;xbWt;xb^t;bEt",4,0.5
"21","abhor","0.24",13.76,3.27,"xbhor","",0,NA
"22","abide","2.71",9.5,3.11,"xbYd","xbod;xlYd;xsYd;bYd",4,0.166666666666667
"23","ability","19.22",8.84,3.22,"xbIl|ti","xJIl|ti",1,NA
"24","abject","0.39",14,4.41,"@bJEkt","abJEkt",1,NA
"25","abjure","0.02",14.6,3.66,"@bJUr","",0,NA
"26","ablaze","0.41",10.83,2.68,"xblez","blez",1,NA
"27","able","159.9",7.79,3.31,"ebL","enL;kebL;febL;gebL;lebL;sebL;tebL",7,0.714285714285714
"28","ablution","0.06",13.64,3.41,"xbluS|n","",0,NA
"29","abnormal","2.9",10.05,2.61,"@bnormL","",0,NA
"30","abnormality","0.51",11.58,3.34,"@bnorm@l|ti","",0,NA
"31","aboard","26.63",8.66,1.33,"xbord","xbod;xkord;xford;xword;bord",5,0.3
"32","abode","0.65",12.06,2.93,"xbod","xbYd;xbord;bod",3,0
"33","abolish","0.47",10.42,2.57,"xbalIS","",0,NA
"34","abolition","0.2",13.28,3.41,"@bxlIS|n","",0,NA
